iter	Passed	Remaining
399	32514	48772
400	32597	48693
401	32694	48634
402	32769	48544
403	32852	48465
404	32931	48381
405	33012	48299
406	33089	48212
407	33166	48123
408	33259	48059
409	33349	47990
410	33428	47905
411	33509	47824
412	33592	47745
413	33668	47657
414	33756	47584
415	33843	47510
416	33991	47523
417	34066	47432
418	34144	47345
419	34222	47259
420	34299	47171
421	34373	47080
422	34454	46997
423	34530	46909
424	34609	46824
425	34686	46737
426	34763	46650
427	34845	46568
428	34921	46480
429	34997	46392
430	35081	46314
431	35160	46229
432	35238	46143
433	35314	46055
434	35391	45968
435	35471	45884
436	35548	45797
437	35636	45725
438	35712	45637
439	35789	45549
440	35868	45466
441	35945	45378
442	36021	45290
443	36099	45206
444	36175	45117
445	36249	45027
446	36328	44942
447	36407	44859
448	36486	44774
449	36560	44684
450	36639	44601
451	36721	44520
452	36794	44430
453	36875	44348
454	36953	44262
455	37027	44173
456	37109	44092
457	37187	44008
458	37265	43922
459	37352	43848
460	37428	43760
461	37506	43676
462	37584	43591
463	37662	43506
464	37737	43418
465	37816	43334
466	37907	43264
467	37988	43183
468	38061	43093
469	38140	43009
470	38219	42926
471	38294	42837
472	38375	42756
473	38452	42671
474	38527	42583
475	38604	42497
476	38681	42412
477	38767	42336
478	38844	42250
479	38921	42164
480	38998	42079
481	39074	41992
482	39150	41906
483	39233	41827
484	39310	41742
485	39399	41669
486	39487	41595
487	39574	41521
488	39666	41450
489	39757	41380
490	39842	41302
491	39919	41218
492	39997	41133
493	40082	41055
494	40171	40982
495	40255	40904
496	40346	40833
497	40421	40745
498	40499	40662
499	40575	40575
500	40651	40488
501	40727	40402
502	40808	40321
503	40891	40242
504	40974	40162
505	41052	40078
506	41134	39998
507	41209	39911
508	41291	39831
509	41370	39748
510	41447	39663
511	41521	39575
512	41599	39491
513	41677	39407
514	41768	39335
515	41877	39280
516	41991	39230
517	42124	39197
518	42246	39153
519	42358	39100
520	42473	39049
521	42591	39001
522	42721	38963
523	42963	39027
524	43075	38973
525	43191	38921
526	43320	38881
527	43437	38830
528	43552	38777
529	43653	38711
530	43753	38644
531	43849	38573
532	43936	38495
533	44017	38412
534	44094	38325
535	44174	38240
536	44255	38156
537	44332	38070
538	44407	37981
539	44490	37899
540	44615	37853
541	44743	37809
542	44877	37770
543	45013	37732
544	45167	37708
545	45326	37688
546	45453	37642
547	45611	37620
548	45781	37609
549	45906	37559
550	46032	37510
551	46155	37459
552	46268	37399
553	46382	37340
554	46490	37276
555	46596	37210
556	46700	37142
557	46796	37068
558	46890	36992
559	46982	36914
560	47076	36838
561	47178	36768
562	47313	36724
563	47611	36805
564	47760	36771
565	47901	36730
566	48040	36687
567	48169	36636
568	48320	36600
569	48453	36552
570	48587	36504
571	48697	36437
572	48819	36380
573	48950	36328
574	49042	36248
575	49131	36166
576	49226	36087
577	49317	36007
578	49452	35957
579	49590	35910
580	49682	35829
581	49774	35748
582	49864	35666
583	49955	35584
584	50043	35501
585	50135	35419
586	50226	35338
587	50314	35254
588	50401	35169
589	50493	35088
590	50582	35005
591	50675	34924
592	50766	34842
593	50866	34767
594	50954	34683
595	51045	34601
596	51133	34517
597	51224	34435
598	51323	34358
599	51409	34273
600	51503	34192
601	51591	34108
602	51678	34024
603	51773	33944
604	51864	33861
605	51957	33780
606	52066	33709
607	52161	33630
608	52248	33545
609	52350	33469
610	52442	33388
611	52546	33313
612	52644	33235
613	52754	33165
614	52862	33092
615	53024	33054
616	53132	32981
617	53243	32911
618	53404	32870
619	53761	32950
620	54047	32985
621	54328	33016
622	54594	33037
623	54879	33068
624	55179	33107
625	55445	33125
626	55737	33158
627	56024	33186
628	56305	33210
629	56567	33222
630	56813	33223
631	57048	33218
632	57295	33218
633	57588	33245
634	57836	33244
635	58107	33256
636	58353	33253
637	58588	33242
638	58859	33252
639	59124	33257
640	59377	33255
641	59655	33265
642	59913	33264
643	60202	33279
644	60472	33283
645	60724	33276
646	60972	33266
647	61193	33240
648	61450	33234
649	61678	33211
650	61922	33196
651	62162	33178
652	62400	33159
653	62661	33151
654	62897	33129
655	63119	33099
656	63360	33078
657	63552	33031
658	63794	33010
659	63987	32963
660	64193	32922
661	64437	32900
662	64663	32868
663	64850	32815
664	65062	32776
665	65332	32764
666	65615	32758
667	65897	32751
668	66332	32819
669	66597	32801
670	66851	32777
671	67110	32756
672	67355	32726
673	67589	32691
674	67814	32651
675	68047	32614
676	68290	32581
677	68383	32476
678	68458	32364
679	68542	32255
680	68619	32143
681	68694	32030
682	68770	31918
683	68850	31808
684	68933	31699
685	69036	31599
686	69137	31499
687	69218	31389
688	69294	31278
689	69372	31167
690	69452	31057
691	69527	30945
692	69606	30835
693	69685	30725
694	69761	30614
695	69837	30503
696	69916	30394
697	69991	30282
698	70068	30172
699	70152	30065
700	70228	29954
701	70303	29843
702	70381	29734
703	70460	29625
704	70544	29518
705	70621	29408
706	70699	29299
707	70776	29190
708	70852	29080
709	70932	28972
710	71010	28863
711	71087	28754
712	71179	28651
713	71260	28544
714	71335	28434
715	71413	28326
716	71500	28221
717	71579	28113
718	71661	28006
719	71736	27897
720	71816	27790
721	71898	27683
722	71976	27576
723	72051	27467
724	72129	27359
725	72212	27253
726	72286	27144
727	72364	27037
728	72442	26929
729	72518	26821
730	72596	26714
731	72674	26607
732	72754	26501
733	72832	26394
734	72912	26288
735	72989	26180
736	73072	26076
737	73147	25968
738	73226	25862
739	73305	25755
740	73382	25649
741	73463	25543
742	73541	25437
743	73616	25330
744	73693	25223
745	73770	25117
746	73851	25012
747	73927	24906
748	74001	24798
749	74099	24699
750	74195	24600
751	74273	24494
752	74350	24388
753	74429	24283
754	74507	24178
755	74599	24076
756	74675	23971
757	74755	23866
758	74832	23760
759	74910	23655
760	74988	23550
761	75066	23445
762	75146	23341
763	75220	23235
764	75297	23130
765	75374	23025
766	75453	22921
767	75540	22819
768	75618	22715
769	75696	22610
770	75773	22506
771	75849	22401
772	75932	22298
773	76012	22194
774	76091	22091
775	76167	21986
776	76245	21882
777	76324	21779
778	76401	21674
779	76480	21571
780	76571	21471
781	76647	21367
782	76725	21263
783	76801	21159
784	76940	21072
785	77029	20972
786	77117	20871
787	77213	20773
788	77300	20672
789	77390	20572
790	77478	20471
791	77560	20369
792	77641	20267
793	77719	20163
794	77797	20060
795	77876	19958
796	77958	19856
797	78075	19763
798	78244	19683
799	78340	19585
800	78431	19485
801	78519	19385
802	78614	19286
803	78712	19188
804	78792	19086
805	78874	18984
806	78958	18883
807	79052	18784
808	79141	18684
809	79220	18582
810	79302	18481
811	79389	18380
812	79483	18282
813	79572	18182
814	79658	18081
815	79742	17981
816	79824	17879
817	79905	17778
818	79985	17676
819	80061	17574
820	80209	17487
821	80288	17385
822	80366	17284
823	80444	17182
824	80525	17081
825	80604	16979
826	80692	16880
827	80774	16779
828	80854	16678
829	80930	16576
830	81073	16487
831	81223	16400
832	81418	16322
833	81659	16253
834	81917	16187
835	82183	16122
836	82442	16055
837	82698	15987
838	82968	15921
839	83204	15848
840	83440	15775
841	83700	15706
842	83939	15632
843	84209	15564
844	84423	15486
845	84672	15413
846	84923	15340
847	85188	15269
848	85417	15192
849	85658	15116
850	85913	15042
851	86154	14965
852	86406	14890
853	86650	14813
854	86916	14740
855	87173	14664
856	87425	14587
857	87681	14511
858	87950	14436
859	88228	14362
860	88492	14286
861	88734	14205
862	88992	14127
863	89231	14045
864	89509	13969
865	89763	13889
866	90026	13810
867	90291	13730
868	90553	13650
869	90833	13572
870	91106	13493
871	91377	13413
872	91637	13331
873	91885	13246
874	92135	13162
875	92434	13084
876	92742	13007
877	93006	12923
878	93282	12840
879	93545	12756
880	93808	12671
881	94071	12585
882	94338	12500
883	94592	12412
884	94860	12326
885	95115	12238
886	95368	12149
887	95628	12061
888	95880	11971
889	96161	11885
890	96422	11795
891	96687	11706
892	96939	11615
893	97198	11524
894	97460	11433
895	97716	11342
896	97968	11249
897	98225	11156
898	98466	11062
899	98738	10970
900	98992	10877
901	99273	10785
902	99522	10690
903	99804	10598
904	100066	10504
905	100348	10411
906	100805	10336
907	101103	10243
908	101366	10147
909	101644	10052
910	101921	9957
911	102183	9859
912	102449	9762
913	102721	9665
914	103005	9568
915	103279	9471
916	103550	9372
917	103820	9273
918	104087	9174
919	104360	9074
920	104623	8974
921	104888	8873
922	105160	8772
923	105432	8671
924	105691	8569
925	105968	8468
926	106224	8365
927	106491	8262
928	106761	8159
929	107031	8056
930	107316	7953
931	107571	7848
932	107841	7744
933	108102	7638
934	108370	7533
935	108646	7428
936	108901	7322
937	109170	7215
938	109441	7109
939	109716	7003
940	109973	6895
941	110233	6787
942	110497	6679
943	110774	6571
944	111049	6463
945	111313	6354
946	111566	6243
947	111831	6134
948	112083	6023
949	112349	5913
950	112622	5802
951	112891	5691
952	113148	5580
953	113418	5468
954	113663	5355
955	113920	5243
956	114187	5130
957	114448	5017
958	114689	4903
959	114960	4790
960	115227	4676
961	115504	4562
962	115774	4448
963	116031	4333
964	116308	4218
965	116567	4102
966	116831	3987
967	117088	3870
968	117357	3754
969	117622	3637
970	117868	3520
971	118138	3403
972	118400	3285
973	118663	3167
974	118939	3049
975	119200	2931
976	119464	2812
977	119713	2692
978	119978	2573
979	120238	2453
980	120498	2333
981	120763	2213
982	121030	2093
983	121281	1972
984	121541	1850
985	121804	1729
986	122076	1607
987	122339	1485
988	122589	1363
989	122859	1241
990	123108	1118
991	123380	995
992	123635	871
993	123907	747
994	124189	624
995	124450	499
996	124703	375
997	124978	250
998	125233	125
999	125506	0
